entry_time,exit_time,entry_price,exit_price,pnl,trades_per_day
2021-06-23 11:10:00,2021-06-23 11:40:00,15776.3,15772.4,-3.9,2
2021-06-24 09:30:00,2021-06-24 10:30:00,15733.05,15738.6,5.55,1
2021-06-24 10:55:00,2021-06-24 11:40:00,15744.2,15735.6,-8.6,2
2021-06-24 12:20:00,2021-06-24 13:30:00,15777.15,15785.9,8.75,3
2021-06-25 09:30:00,2021-06-25 10:20:00,15815.45,15786.5,-28.95,1
2021-06-25 11:00:00,2021-06-25 13:30:00,15800.1,15836.4,36.3,2
2021-06-28 09:30:00,2021-06-28 10:15:00,15889.45,15857.15,-32.3,1
2021-06-28 11:45:00,2021-06-28 11:50:00,15834.95,15833.8,-1.15,2
2021-06-28 11:55:00,2021-06-28 12:15:00,15830.6,15824.8,-5.8,3
2021-06-28 12:55:00,2021-06-28 13:30:00,15832.4,15838.65,6.25,4
2021-06-29 11:30:00,2021-06-29 12:15:00,15769.4,15749.6,-19.8,1
2021-06-29 12:55:00,2021-06-29 13:30:00,15772.35,15797.45,25.1,2
2021-06-30 09:30:00,2021-06-30 11:40:00,15785.25,15820.3,35.05,1
2021-06-30 12:25:00,2021-06-30 13:00:00,15828.3,15826.65,-1.65,2
2021-07-01 11:35:00,2021-07-01 12:05:00,15694.35,15701.95,7.6,1
2021-07-01 12:20:00,2021-07-01 13:30:00,15701.05,15724.8,23.75,2
2021-07-02 10:30:00,2021-07-02 11:00:00,15674.8,15662.45,-12.35,1
2021-07-02 11:40:00,2021-07-02 13:30:00,15661.1,15699.5,38.4,2
2021-07-05 09:30:00,2021-07-05 11:55:00,15808.55,15823.0,14.45,1
2021-07-05 12:00:00,2021-07-05 12:25:00,15823.75,15803.25,-20.5,2
2021-07-05 13:25:00,2021-07-05 13:30:00,15811.3,15819.6,8.3,3
2021-07-06 09:30:00,2021-07-06 12:50:00,15843.1,15889.55,46.45,1
2021-07-07 10:05:00,2021-07-07 10:10:00,15808.6,15803.85,-4.75,1
2021-07-07 11:10:00,2021-07-07 11:15:00,15816.2,15821.15,4.95,2
2021-07-07 11:20:00,2021-07-07 12:55:00,15827.65,15829.75,2.1,3
2021-07-08 09:30:00,2021-07-08 09:55:00,15869.5,15845.1,-24.4,1
2021-07-08 11:25:00,2021-07-08 11:40:00,15840.85,15828.65,-12.2,2
2021-07-08 11:45:00,2021-07-08 11:50:00,15814.6,15816.45,1.85,3
2021-07-09 10:20:00,2021-07-09 11:25:00,15702.5,15676.8,-25.7,1
2021-07-09 12:20:00,2021-07-09 12:45:00,15685.3,15697.5,12.2,2
2021-07-09 12:50:00,2021-07-09 13:30:00,15706.9,15689.75,-17.15,3
2021-07-12 09:30:00,2021-07-12 11:25:00,15778.45,15784.2,5.75,1
